state,pop_k,initiated_year,recall_exposures,class_i_exposures,listed_exposures,exposures_per_million,class_i_per_million
KS,2900,2026,3,2,0,1.034,0.69
MS,2900,2026,3,2,0,1.034,0.69
AR,3000,2026,3,2,0,1.0,0.667
IA,3200,2026,3,2,0,0.938,0.625
NV,3200,2026,3,2,0,0.938,0.625
PR,3200,2026,3,2,0,0.938,0.625
UT,3400,2026,3,2,0,0.882,0.588
CT,3600,2026,3,2,0,0.833,0.556
OK,4000,2026,3,2,0,0.75,0.5
OR,4200,2026,3,2,0,0.714,0.476
KY,4500,2026,3,2,0,0.667,0.444
LA,4600,2026,3,2,0,0.652,0.435
AL,5100,2026,3,2,0,0.588,0.392
SC,5300,2026,3,2,0,0.566,0.377
MN,5700,2026,3,2,0,0.526,0.351
CO,5900,2026,3,2,0,0.508,0.339
WI,5900,2026,4,2,1,0.678,0.339
MD,6200,2026,3,2,0,0.484,0.323
MO,6200,2026,3,2,0,0.484,0.323
IN,6800,2026,3,2,0,0.441,0.294
MA,7000,2026,3,2,0,0.429,0.286
TN,7100,2026,3,2,0,0.423,0.282
AZ,7400,2026,3,2,0,0.405,0.27
WA,7800,2026,3,2,0,0.385,0.256
VA,8700,2026,3,2,0,0.345,0.23
NJ,9300,2026,3,2,0,0.323,0.215
MI,10000,2026,3,2,0,0.3,0.2
NC,10800,2026,4,2,1,0.37,0.185
GA,11000,2026,3,2,0,0.273,0.182
OH,11700,2026,3,2,0,0.256,0.171
IL,12500,2026,3,2,0,0.24,0.16
PA,12900,2026,3,2,0,0.233,0.155
NY,19500,2026,3,2,0,0.154,0.103
FL,22600,2026,4,2,1,0.177,0.088
TX,30500,2026,4,2,1,0.131,0.066
CA,38900,2026,3,2,0,0.077,0.051
