firm_key,example_name,n_name_variants,firm_state,initiated_year,recalls,class_i,class_i_pct,avg_days_to_report,recalls_rolling_3yr,prev_year_recalls,firm_flag
lyrical foods,Lyrical Foods Inc,1,CA,2017,1,0,0.0,42.0,1,,watch
magic gourmet trading,Magic Gourmet Trading Inc,1,CA,2016,1,0,0.0,140.0,1,,watch
manzana products,"Manzana Products Co.,  Inc.",1,CA,2017,1,0,0.0,33.0,1,,watch
meijer distribution,"Meijer Distribution, Inc",1,MI,2018,1,0,0.0,30.0,1,,watch
midway specialty vehicles,Midway Specialty Vehicles LLC,1,IN,2017,1,0,0.0,23.0,1,,watch
midwest international,Midwest International Corp,1,NY,2016,1,0,0.0,49.0,1,,watch
moondance heavenly desserts,"Moondance Heavenly Desserts, LLC",1,OH,2017,1,0,0.0,37.0,1,,watch
mount franklin foods dba azar nut,Mount Franklin Foods LLC DBA Azar Nut Co.,1,TX,2023,1,0,0.0,42.0,1,,watch
mrs gerry s kitchen,"Mrs Gerry's Kitchen, Inc",1,MN,2018,1,0,0.0,31.0,1,,watch
my chai,My Chai Inc,1,OR,2024,1,0,0.0,84.0,1,,watch
national enzyme,National Enzyme Co,1,MO,2013,1,0,0.0,56.0,1,,watch
natural creations,Natural Creations Inc,1,IA,2015,1,0,0.0,40.0,1,,watch
naturemills us,NatureMills US Incorporated,1,TX,2025,1,0,0.0,50.0,1,,watch
natures path foods usa,"Natures Path Foods USA, Inc.",1,WA,2020,1,0,0.0,19.0,1,,watch
naturo aid pharmaceutical,Naturo Aid Pharmaceutical Inc.,1,N/A,2021,1,0,0.0,120.0,1,,watch
nestle usa,Nestle USA,1,OH,2016,1,0,0.0,20.0,1,,watch
nestle waters north america,Nestle Waters North America,1,CT,2015,1,0,0.0,42.0,1,,watch
nutco dba germack pistachio,NUTCO Inc. dba Germack Pistachio Co.,1,MI,2017,1,0,0.0,51.0,1,,watch
nutrafuels,"Nutrafuels, Inc.",1,FL,2019,1,0,0.0,47.0,1,,watch
organic by nature,"Organic By Nature, Inc.",1,CA,2020,1,0,0.0,37.0,1,,watch
oxford frozen foods plant 1,Oxford Frozen Foods Plant 1,1,Nova Scotia,2017,1,0,0.0,35.0,1,,watch
ozone confection and bakers supply,Ozone Confection & Bakers Supply Co.,1,NJ,2013,1,0,0.0,55.0,1,,watch
paleteria y neveria la rosita,"Paleteria Y Neveria La Rosita, LLC",1,IN,2013,1,0,0.0,32.0,1,,watch
pan o gold baking,Pan -O- Gold Baking Co,1,MN,2013,1,0,0.0,49.0,1,,watch
pao de milho iii,"PAO DE MILHO III, LLC",1,NJ,2016,1,0,0.0,36.0,1,,watch
pharmatech,Pharmatech LLC,1,FL,2016,1,0,0.0,86.0,1,,watch
piantedosi baking,"Piantedosi Baking Co., Inc.",1,MA,2022,1,0,0.0,28.0,1,,watch
picket fence creamery,Picket Fence Creamery L.L.C.,1,IA,2021,1,0,0.0,56.0,1,,watch
pinnacle foods,"Pinnacle Foods, LLC",1,NJ,2017,1,0,0.0,40.0,1,,watch
poco dolce confections,"Poco Dolce Confections, Inc.",1,CA,2015,1,0,0.0,19.0,1,,watch
prep enterprises,Prep Enterprises Llc,1,CA,2014,1,0,0.0,41.0,1,,watch
price chopper golub corperisable warehouse,Price Chopper Golub Corperisable Warehouse,1,NY,2013,1,0,0.0,40.0,1,,watch
productos la finca,"Productos La Finca, Inc.",1,PR,2016,1,0,0.0,64.0,1,,watch
prothera dba sfi usa,"ProThera, Inc. dba SFI USA",1,NV,2019,1,0,0.0,48.0,1,,watch
queen bee gardens,"Queen Bee Gardens, LLC",1,WY,2022,1,0,0.0,90.0,1,,watch
rc industries,RC Industries Inc.,1,OH,2021,1,0,0.0,36.0,1,,watch
reaction nutrition,Reaction Nutrition LLC,1,PA,2015,1,0,0.0,63.0,1,,watch
red mill farms,Red Mill Farms,1,PA,2013,1,0,0.0,154.0,1,,watch
regal food dba the pizza shop,Regal Food Inc./dba The Pizza Shop,1,HI,2019,1,0,0.0,42.0,1,,watch
regency group the,"Regency Group, Inc., The",1,OR,2015,1,0,0.0,34.0,1,,watch
rich products,Rich Products Corp,1,NY,2020,1,0,0.0,22.0,1,,watch
riverside natural foods,"Riverside Natural Foods, Ltd.",1,,2024,1,0,0.0,72.0,1,,watch
rocky s historic eastern market,Rocky'S Historic Eastern Market,1,MI,2017,1,0,0.0,49.0,1,,watch
roland foods,"Roland Foods, LLC.",1,NY,2016,1,0,0.0,29.0,1,,watch
rong shing trading ny,Rong Shing Trading NY Inc,1,NY,2020,1,0,0.0,35.0,1,,watch
rushing waters fisheries,"Rushing Waters Fisheries, LLC",1,WI,2017,1,0,0.0,33.0,1,,watch
sacramento cookie factory,Sacramento Cookie Factory,1,CA,2024,1,0,0.0,28.0,1,,watch
safecor health,"Safecor Health, LLC",1,MA,2016,1,0,0.0,93.0,1,,watch
san gennaro foods,"San Gennaro Foods, Inc",1,WA,2017,1,0,0.0,33.0,1,,watch
schreiber food international,Schreiber Food International,1,NJ,2016,1,0,0.0,41.0,1,,watch
schwartz brothers restaurants dba schwartz brothers bakery,Schwartz Brothers Restaurants dba Schwartz Brothers Bakery,1,WA,2018,1,0,0.0,24.0,1,,watch
sib,"SIB, Inc.",1,IN,2013,1,0,0.0,37.0,1,,watch
skipanon brand seafoods,Skipanon Brand Seafoods LLC,1,OR,2015,1,0,0.0,68.0,1,,watch
something south african,Something South African LLC,1,GA,2022,1,0,0.0,44.0,1,,watch
sonora mills foods dba popch,SONORA MILLS FOODS INC DBA POPCH,1,CA,2019,1,0,0.0,36.0,1,,watch
southern sisters gourmet,Southern Sisters Gourmet,1,MS,2020,1,0,0.0,64.0,1,,watch
specialty commodities,"Specialty Commodities, Inc.",1,ND,2016,1,0,0.0,57.0,1,,watch
springside cheese,Springside Cheese Corp,1,WI,2012,1,0,0.0,40.0,1,,watch
starter bakery,STARTER BAKERY,1,CA,2024,1,0,0.0,33.0,1,,watch
sugar foods,Sugar Foods Corporation Inc,1,NY,2018,1,0,0.0,19.0,1,,watch
sundial herbal products,Sundial Herbal Products,1,NY,2020,1,0,0.0,71.0,1,,watch
sunset natural products,Sunset Natural Products Inc.,1,FL,2015,1,0,0.0,449.0,1,,watch
sysco charlotte,Sysco Charlotte,1,NC,2018,1,0,0.0,118.0,1,,watch
tampico spice,Tampico Spice Company Inc,1,CA,2023,1,0,0.0,27.0,1,,watch
tfi holding dba grey ghost bakery,TFI Holding dba Grey Ghost Bakery,1,SC,2019,1,0,0.0,29.0,1,,watch
the coastal companies dba hearn kirkwood,The Coastal Companies DBA Hearn Kirkwood,1,MD,2023,1,0,0.0,33.0,1,,watch
the french s food subs reckitt benckiser,"The French's Food Company, LLC SUBS Reckitt Benckiser",1,MO,2017,1,0,0.0,30.0,1,,watch
the quaker oats,The Quaker Oats Co.,1,IL,2023,1,0,0.0,82.0,1,,watch
the sausage maker,"The Sausage Maker, Inc.",1,NY,2023,1,0,0.0,113.0,1,,watch
tiffany food,Tiffany Food Corp.,1,NY,2024,1,0,0.0,104.0,1,,watch
tillamook county creamery assoc,TILLAMOOK COUNTY CREAMERY ASSOC,1,OR,2018,1,0,0.0,26.0,1,,watch
tomales bay foods,"Tomales Bay Foods, Inc.",1,CA,2012,1,0,0.0,137.0,1,,watch
traders west,Traders West Inc,1,FL,2019,1,0,0.0,34.0,1,,watch
triceutical zhang,Triceutical Inc./Zhang,1,NY,2014,1,0,0.0,747.0,1,,watch
umpqua dairy products,Umpqua Dairy Products Co,1,OR,2016,1,0,0.0,41.0,1,,watch
uncle ray s,Uncle Ray's LLC,1,MI,2026,1,0,0.0,21.0,1,,watch
unfi general corporate,UNFI General Corporate,1,RI,2025,1,0,0.0,39.0,1,,watch
union bagel shop,Union Bagel Shop,1,OR,2016,1,0,0.0,202.0,1,,watch
ventura foods,"Ventura Foods, LLC",1,PA,2017,1,0,0.0,48.0,1,,watch
vitamin cottage natural food markets,"Vitamin Cottage Natural Food Markets, Inc.",1,CO,2017,1,0,0.0,29.0,1,,watch
wakefern food,Wakefern Food Corp.,1,NJ,2016,1,0,0.0,145.0,1,,watch
wegmans food markets,"Wegmans Food Markets, Inc.",1,NY,2014,1,0,0.0,157.0,1,,watch
whole flower farms,Whole Flower Farms LLC,1,OR,2019,1,0,0.0,22.0,1,,watch
wienke,Wienke LLC,1,WI,2018,1,0,0.0,26.0,1,,watch
winco foods,Winco Foods Llc,1,ID,2020,1,0,0.0,19.0,1,,watch
winter gardens quality foods,"Winter Gardens Quality Foods, Inc.",1,PA,2016,1,0,0.0,65.0,1,,watch
wismettac asian foods,"Wismettac Asian Foods, INC",1,CA,2019,1,0,0.0,34.0,1,,watch
yukon jackson,Yukon Jackson,1,WA,2018,1,0,0.0,26.0,1,,watch
zingerman s bakehouse,"Zingerman's Bakehouse, Inc.",1,MI,2012,1,0,0.0,40.0,1,,watch
